"","Brewery_id","Beer_name","Beer_ID","ABV","IBU","Style","Ounces","Brewery_name","City","State"
"2040",425,"Patty's Chile Beer",1345,0.042,NA,"Chile Beer",12,"Wynkoop Brewing Company","Denver"," CO"
"2045",425,"Rail Yard Ale",807,0.052,NA,"American Amber / Red Ale",12,"Wynkoop Brewing Company","Denver"," CO"
"2051",427,"Quakertown Stout",1333,0.092,50,"American Double / Imperial Stout",12,"Armadillo Ale Works","Denton"," TX"
"2060",430,"Green Bullet Organic India Pale Ale",1322,0.07,45,"American IPA",16,"Asher Brewing Company","Boulder"," CO"
"2079",437,"Na Zdraví Pilsner",1283,0.048,32,"Czech Pilsener",16,"Southern Oregon Brewing Company","Medford"," OR"
"2100",442,"Car 21",695,0.044,28,"English Bitter",16,"Pateros Creek Brewing Company","Fort Collins"," CO"
"2135",452,"Dank IPA (2012)",964,0.065,NA,"American IPA",16,"Dad & Dude's Breweria","Aurora"," CO"
"2171",464,"Big Bend Hefeweizen",1155,0.056,NA,"Hefeweizen",12,"Big Bend Brewing Company","Alpine"," TX"
"2174",465,"Sweet As Pacific Ale",1108,0.06,18,"American Pale Wheat Ale",12,"Good Life Brewing Company","Bend"," OR"
"2181",471,"Pete's ESP Lager (1998)",1062,0.051,NA,"American Pale Lager",12,"Pete's Brewing Company","San Antonio"," TX"
"2186",471,"Pete's Wicked Summer Brew (1997)",1054,0.047,NA,"American Pale Wheat Ale",12,"Pete's Brewing Company","San Antonio"," TX"
"2195",473,"Summertime Ale",681,0.052,23,"Kölsch",16,"Crystal Springs Brewing Company","Boulder"," CO"
"2215",481,"Face Down Brown Ale",973,0.057,NA,"American Brown Ale",12,"Telluride Brewing Company","Telluride"," CO"
"2229",486,"Mac's Scottish Style Amber Ale (2000)",961,0.051,32,"American Amber / Red Ale",12,"MacTarnahans Brewing Company","Portland"," OR"
"2255",497,"Hop Abomination",881,0.066,100,"American IPA",12,"Dry Dock Brewing Company","Aurora"," CO"
"2275",504,"Ten Fidy Imperial Stout (2007)",803,0.099,98,"Russian Imperial Stout",12,"Oskar Blues Brewery","Lyons"," CO"
"2280",504,"Dale's Pale Ale (2006)",744,0.065,65,"American Pale Ale (APA)",12,"Oskar Blues Brewery","Lyons"," CO"
"2285",504,"Gordon Beer (2006)",733,0.087,60,"American Double / Imperial IPA",12,"Oskar Blues Brewery","Lyons"," CO"
"2320",521,"Hoppy Boy",641,0.062,65,"American IPA",16,"Twisted Pine Brewing Company","Boulder"," CO"
"2355",532,"Dolores River Dry Stout",447,NA,NA,"Irish Dry Stout",16,"Dolores River Brewery","Dolores"," CO"
"2358",534,"Jockamo IPA",516,0.065,52,"American IPA",12,"Abita Brewing Company","Abita Springs"," LA"
"2400",552,"Red Mountain Ale",161,0.06,NA,"American Amber / Red Ale",12,"Silverton Brewery","Silverton"," CO"
"2403",554,"Heiner Brau Kölsch",129,0.05,NA,"Kölsch",12,"Covington Brewhouse","Covington"," LA"
